product_id,brand,product_name,subscription_type,monthly_price
PROD001,Kindred Goods,Kindred Goods Get Plan,Monthly,68.02
PROD002,Vela Home,Vela Home National Suite,Annual,67.59
PROD003,Kindred Goods,Kindred Goods Occur Plan,Lifetime,7.69
PROD004,Northgate,Northgate Become Suite,Annual,47.95
PROD005,Northgate,Northgate Worry Suite,Lifetime,23.73
PROD006,Cascade Media,Cascade Media Main Box,Monthly,69.49
PROD007,Vela Home,Vela Home Thousand Kit,Trial,28.61
PROD008,Vela Home,Vela Home Different Box,Monthly,12.87
PROD009,Northgate,Northgate Effort Box,Trial,56.31
PROD010,Northgate,Northgate Including Kit,Monthly,87.7
PROD011,BrightPath,BrightPath Bring Plan,Trial,75.49
PROD012,Cascade Media,Cascade Media Light Box,Annual,64.88
PROD013,Northgate,Northgate Meeting Suite,Trial,88.73
PROD014,Vela Home,Vela Home Environmental Plan,Lifetime,28.62
PROD015,Kindred Goods,Kindred Goods Defense Box,Annual,36.46
