date,agent_id,calls,aht,fcr,occupancy,adherence,csat
2026-03-22,A001,17,626.1,0.56,0.928,0.955,3.32
2026-04-03,A001,39,342.4,0.771,0.742,0.886,4.05
2026-06-29,A001,46,250.2,0.874,0.794,0.917,3.34
2026-07-07,A001,16,414.5,0.681,0.683,0.804,4.38
2026-04-05,A001,54,547.2,0.834,0.658,0.925,4.8
2026-04-22,A001,57,245.4,0.879,0.674,0.849,3.53
2026-03-13,A001,30,590.8,0.838,0.694,0.962,3.68
2026-03-10,A001,18,417.8,0.792,0.678,0.987,4.09
2026-01-30,A001,31,183.9,0.759,0.721,0.878,4.61
2026-02-09,A001,17,248.7,0.831,0.734,0.811,4.29
2026-03-09,A001,43,464.4,0.649,0.761,0.984,3.97
2026-02-25,A001,29,264.4,0.603,0.905,0.857,3.69
2026-03-07,A001,40,528.6,0.639,0.894,0.911,3.59
2026-02-11,A001,35,526.3,0.779,0.689,0.909,4.79
2026-06-15,A001,15,706.3,0.898,0.841,0.97,3.47
2026-04-09,A001,17,271.5,0.863,0.824,0.893,4.7
2026-04-25,A001,44,300.0,0.559,0.716,0.883,3.61
2026-03-27,A001,18,516.3,0.914,0.759,0.94,4.42
2026-06-21,A001,26,341.2,0.775,0.91,0.869,4.68
2026-06-08,A001,17,415.4,0.648,0.765,0.847,3.81
2026-02-13,A001,34,594.6,0.715,0.642,0.88,3.34
2026-03-05,A001,26,368.0,0.804,0.811,0.813,4.78
2026-06-11,A001,23,602.6,0.856,0.632,0.887,3.76
2026-03-14,A001,33,269.8,0.748,0.677,0.921,4.48
2026-05-21,A001,42,343.1,0.798,0.716,0.973,4.04
2026-04-30,A001,23,369.4,0.589,0.831,0.824,4.72
2026-06-19,A001,22,631.2,0.916,0.706,0.852,3.96
2026-05-07,A001,30,671.1,0.563,0.866,0.982,3.93
2026-02-07,A001,55,418.1,0.608,0.638,0.888,3.93
2026-04-21,A001,29,615.2,0.701,0.643,0.871,3.79
2026-03-11,A001,41,374.7,0.65,0.837,0.928,3.8
2026-02-03,A001,40,711.2,0.839,0.668,0.832,4.5
2026-07-22,A001,15,676.9,0.9,0.705,0.836,4.07
2026-07-10,A001,58,585.7,0.714,0.666,0.974,3.65
2026-07-05,A001,38,227.4,0.884,0.873,0.96,3.42
2026-02-18,A001,54,367.8,0.705,0.895,0.93,3.37
2026-05-24,A001,43,613.7,0.637,0.757,0.972,4.26
2026-05-16,A001,48,582.9,0.897,0.601,0.953,4.74
2026-07-21,A001,50,490.9,0.662,0.736,0.837,3.76
2026-05-09,A001,29,379.4,0.639,0.809,0.958,4.25
2026-06-13,A001,47,273.1,0.636,0.917,0.859,3.22
2026-06-29,A002,40,271.8,0.576,0.672,0.966,3.34
2026-07-07,A002,39,571.6,0.745,0.652,0.869,3.33
2026-05-27,A002,27,413.8,0.621,0.792,0.951,3.77
2026-01-26,A002,60,700.2,0.779,0.684,0.81,4.5
2026-04-22,A002,39,430.4,0.904,0.805,0.817,3.87
2026-07-09,A002,57,228.4,0.698,0.686,0.979,3.84
2026-03-13,A002,48,435.3,0.665,0.728,0.918,4.47
2026-03-10,A002,37,576.4,0.737,0.731,0.919,4.8
2026-02-09,A002,36,203.7,0.772,0.793,0.946,3.98
2026-03-09,A002,22,257.4,0.888,0.904,0.894,3.41
2026-02-10,A002,40,510.2,0.737,0.918,0.853,3.75
2026-04-12,A002,20,341.3,0.627,0.731,0.873,4.62
2026-03-07,A002,40,685.7,0.878,0.628,0.939,4.64
2026-02-11,A002,51,289.3,0.697,0.731,0.805,4.64
2026-06-15,A002,22,238.5,0.654,0.686,0.851,3.63
2026-05-01,A002,37,477.4,0.889,0.792,0.99,4.46
2026-03-04,A002,58,719.3,0.649,0.659,0.818,4.2
2026-03-08,A002,17,385.9,0.731,0.891,0.953,3.95
2026-03-27,A002,40,630.3,0.702,0.689,0.903,3.92
2026-02-24,A002,31,215.1,0.603,0.611,0.968,3.28
2026-06-21,A002,36,662.4,0.746,0.795,0.845,4.73
2026-06-08,A002,53,553.6,0.751,0.882,0.887,3.82
2026-02-13,A002,43,643.9,0.844,0.942,0.805,4.01
2026-07-15,A002,36,296.7,0.86,0.888,0.865,3.57
2026-03-05,A002,52,559.2,0.85,0.725,0.842,4.5
2026-06-11,A002,54,368.1,0.791,0.754,0.856,3.29
2026-03-14,A002,26,680.8,0.799,0.764,0.811,4.38
2026-05-21,A002,44,345.1,0.671,0.763,0.826,3.28
2026-04-30,A002,39,579.7,0.672,0.935,0.931,4.52
2026-06-19,A002,26,507.3,0.555,0.675,0.894,3.3
2026-05-07,A002,58,609.9,0.608,0.793,0.968,4.77
2026-02-07,A002,20,346.1,0.915,0.903,0.879,3.58
2026-04-21,A002,26,334.6,0.565,0.935,0.934,3.63
2026-05-10,A002,21,216.7,0.605,0.682,0.855,3.77
2026-05-31,A002,60,667.6,0.581,0.725,0.962,4.61
2026-02-18,A002,60,715.9,0.687,0.888,0.853,4.55
2026-05-24,A002,54,624.7,0.619,0.626,0.941,3.3
2026-03-24,A002,18,250.1,0.589,0.875,0.913,4.04
2026-07-21,A002,25,686.4,0.681,0.722,0.972,3.36
2026-05-09,A002,22,180.3,0.663,0.718,0.816,4.01
2026-06-13,A002,33,516.1,0.745,0.91,0.886,3.6
2026-03-22,A003,42,685.8,0.573,0.696,0.863,4.58
2026-04-03,A003,30,524.3,0.88,0.775,0.873,3.45
2026-05-26,A003,39,234.9,0.702,0.643,0.904,4.24
2026-07-07,A003,56,366.9,0.753,0.653,0.857,4.55
2026-04-05,A003,40,568.4,0.685,0.886,0.862,4.59
2026-05-27,A003,29,529.2,0.611,0.835,0.939,4.74
2026-04-22,A003,50,324.8,0.572,0.805,0.984,4.3
2026-03-25,A003,34,623.9,0.562,0.823,0.907,3.44
2026-07-09,A003,41,192.5,0.877,0.9,0.829,3.53
