survey_id,interaction_id,rating,comment
SURV225102,INT0000006,1,The issue wasn't fixed.
SURV592644,INT0000009,1,The issue wasn't fixed.
SURV452661,INT0000013,1,The issue wasn't fixed.
SURV457861,INT0000024,5,"Quick and easy, thanks!"
SURV626281,INT0000025,4,"Quick and easy, thanks!"
SURV328839,INT0000031,5,"Quick and easy, thanks!"
SURV158622,INT0000036,4,Took a while but got sorted eventually.
SURV666945,INT0000038,4,Took a while but got sorted eventually.
SURV914720,INT0000042,4,Took a while but got sorted eventually.
SURV645113,INT0000049,4,Took a while but got sorted eventually.
SURV274150,INT0000050,3,Took a while but got sorted eventually.
SURV242524,INT0000055,1,The issue wasn't fixed.
SURV461859,INT0000057,1,The issue wasn't fixed.
SURV881923,INT0000061,4,"Quick and easy, thanks!"
SURV236765,INT0000062,5,"Quick and easy, thanks!"
SURV927652,INT0000078,4,"Quick and easy, thanks!"
SURV379140,INT0000086,4,Took a while but got sorted eventually.
SURV653080,INT0000089,4,"Quick and easy, thanks!"
SURV692182,INT0000111,1,The issue wasn't fixed.
SURV154337,INT0000112,2,The issue wasn't fixed.
SURV263643,INT0000134,5,"Quick and easy, thanks!"
SURV337970,INT0000137,2,The issue wasn't fixed.
SURV407857,INT0000152,1,The issue wasn't fixed.
SURV555111,INT0000156,2,The issue wasn't fixed.
SURV438538,INT0000163,4,"Quick and easy, thanks!"
SURV742837,INT0000176,5,"Quick and easy, thanks!"
SURV650261,INT0000191,1,The issue wasn't fixed.
SURV601407,INT0000202,5,"Quick and easy, thanks!"
SURV777593,INT0000205,4,Took a while but got sorted eventually.
SURV154006,INT0000206,1,The issue wasn't fixed.
SURV850406,INT0000230,1,The issue wasn't fixed.
SURV679519,INT0000246,5,"Quick and easy, thanks!"
SURV301446,INT0000247,5,"Quick and easy, thanks!"
SURV408178,INT0000261,4,"Quick and easy, thanks!"
SURV120988,INT0000275,1,The issue wasn't fixed.
SURV128273,INT0000277,4,"Quick and easy, thanks!"
SURV873759,INT0000281,2,The issue wasn't fixed.
SURV127202,INT0000282,1,The issue wasn't fixed.
SURV117965,INT0000285,5,"Quick and easy, thanks!"
SURV659646,INT0000292,2,The issue wasn't fixed.
SURV668534,INT0000304,1,The issue wasn't fixed.
SURV312730,INT0000306,5,"Quick and easy, thanks!"
SURV792359,INT0000320,4,Took a while but got sorted eventually.
SURV379169,INT0000321,5,"Quick and easy, thanks!"
SURV980475,INT0000323,2,The issue wasn't fixed.
SURV178616,INT0000326,1,The issue wasn't fixed.
SURV218018,INT0000340,4,Took a while but got sorted eventually.
SURV995682,INT0000343,4,Took a while but got sorted eventually.
SURV552197,INT0000350,1,The issue wasn't fixed.
SURV653454,INT0000364,3,Took a while but got sorted eventually.
SURV855642,INT0000370,1,The issue wasn't fixed.
SURV131026,INT0000378,1,The issue wasn't fixed.
SURV669754,INT0000384,1,The issue wasn't fixed.
SURV610219,INT0000390,4,"Quick and easy, thanks!"
SURV637393,INT0000391,5,"Quick and easy, thanks!"
SURV931816,INT0000392,5,"Quick and easy, thanks!"
SURV553532,INT0000394,5,"Quick and easy, thanks!"
SURV217217,INT0000396,5,"Quick and easy, thanks!"
SURV625468,INT0000417,1,The issue wasn't fixed.
SURV808586,INT0000424,5,"Quick and easy, thanks!"
SURV368395,INT0000428,4,"Quick and easy, thanks!"
SURV833494,INT0000432,4,Took a while but got sorted eventually.
SURV355007,INT0000439,4,Took a while but got sorted eventually.
SURV986679,INT0000440,5,"Quick and easy, thanks!"
SURV550062,INT0000451,3,Took a while but got sorted eventually.
SURV114582,INT0000456,4,"Quick and easy, thanks!"
SURV990007,INT0000470,1,The issue wasn't fixed.
SURV293024,INT0000474,1,The issue wasn't fixed.
SURV246442,INT0000480,4,"Quick and easy, thanks!"
SURV428056,INT0000485,1,The issue wasn't fixed.
SURV614895,INT0000509,2,The issue wasn't fixed.
SURV454429,INT0000510,1,The issue wasn't fixed.
SURV707194,INT0000511,1,The issue wasn't fixed.
