qa_id,agent_id,interaction_id,score,notes
QA499177,A034,INT0000015,74,Agent closed interaction prematurely; customer issue was not fully addressed.
QA693231,A056,INT0000016,63,Agent closed interaction prematurely; customer issue was not fully addressed.
QA812424,A063,INT0000023,83,Agent followed protocol correctly and confirmed resolution with customer.
QA281204,A054,INT0000037,92,Agent followed protocol correctly and confirmed resolution with customer.
QA546362,A005,INT0000040,90,Agent followed protocol correctly and confirmed resolution with customer.
QA198083,A075,INT0000045,81,Agent followed protocol correctly and confirmed resolution with customer.
QA201637,A029,INT0000049,82,Agent followed protocol correctly and confirmed resolution with customer.
QA821185,A006,INT0000050,94,Agent followed protocol correctly and confirmed resolution with customer.
QA870296,A021,INT0000060,96,Agent followed protocol correctly and confirmed resolution with customer.
QA401759,A019,INT0000073,84,Agent followed protocol correctly and confirmed resolution with customer.
QA597918,A025,INT0000079,80,Agent followed protocol correctly and confirmed resolution with customer.
QA325660,A057,INT0000081,94,Agent followed protocol correctly and confirmed resolution with customer.
QA232804,A027,INT0000084,83,Agent followed protocol correctly and confirmed resolution with customer.
QA934448,A020,INT0000097,88,Agent followed protocol correctly and confirmed resolution with customer.
QA324027,A049,INT0000101,84,Agent followed protocol correctly and confirmed resolution with customer.
QA648286,A021,INT0000109,59,Agent closed interaction prematurely; customer issue was not fully addressed.
QA379994,A050,INT0000110,58,Agent closed interaction prematurely; customer issue was not fully addressed.
QA262220,A037,INT0000116,51,Agent closed interaction prematurely; customer issue was not fully addressed.
QA589442,A020,INT0000129,95,Agent followed protocol correctly and confirmed resolution with customer.
QA225933,A009,INT0000131,90,Agent followed protocol correctly and confirmed resolution with customer.
QA481900,A049,INT0000133,53,Agent closed interaction prematurely; customer issue was not fully addressed.
QA388176,A004,INT0000152,59,Agent closed interaction prematurely; customer issue was not fully addressed.
QA433173,A058,INT0000158,81,Agent followed protocol correctly and confirmed resolution with customer.
QA944134,A073,INT0000166,81,Agent followed protocol correctly and confirmed resolution with customer.
QA566168,A004,INT0000170,51,Agent closed interaction prematurely; customer issue was not fully addressed.
QA252030,A033,INT0000198,72,Agent closed interaction prematurely; customer issue was not fully addressed.
QA813445,A036,INT0000210,95,Agent followed protocol correctly and confirmed resolution with customer.
QA699134,A050,INT0000222,89,Agent followed protocol correctly and confirmed resolution with customer.
QA317430,A026,INT0000226,74,Agent closed interaction prematurely; customer issue was not fully addressed.
QA647151,A020,INT0000227,71,Agent closed interaction prematurely; customer issue was not fully addressed.
QA311096,A070,INT0000244,92,Agent followed protocol correctly and confirmed resolution with customer.
QA867231,A032,INT0000255,51,Agent closed interaction prematurely; customer issue was not fully addressed.
QA717093,A041,INT0000277,84,Agent followed protocol correctly and confirmed resolution with customer.
QA121715,A060,INT0000283,68,Agent closed interaction prematurely; customer issue was not fully addressed.
QA771077,A041,INT0000291,95,Agent followed protocol correctly and confirmed resolution with customer.
QA661186,A021,INT0000298,70,Agent closed interaction prematurely; customer issue was not fully addressed.
QA179046,A055,INT0000304,50,Agent closed interaction prematurely; customer issue was not fully addressed.
QA119079,A027,INT0000311,53,Agent closed interaction prematurely; customer issue was not fully addressed.
QA567657,A018,INT0000315,80,Agent followed protocol correctly and confirmed resolution with customer.
QA334210,A016,INT0000345,67,Agent closed interaction prematurely; customer issue was not fully addressed.
QA445012,A014,INT0000363,82,Agent followed protocol correctly and confirmed resolution with customer.
QA853429,A016,INT0000374,98,Agent followed protocol correctly and confirmed resolution with customer.
QA174142,A034,INT0000385,93,Agent followed protocol correctly and confirmed resolution with customer.
QA399058,A024,INT0000402,99,Agent followed protocol correctly and confirmed resolution with customer.
QA983021,A013,INT0000410,93,Agent followed protocol correctly and confirmed resolution with customer.
QA831560,A053,INT0000434,63,Agent closed interaction prematurely; customer issue was not fully addressed.
QA595404,A047,INT0000437,72,Agent closed interaction prematurely; customer issue was not fully addressed.
QA803707,A002,INT0000441,88,Agent followed protocol correctly and confirmed resolution with customer.
QA706731,A038,INT0000451,98,Agent followed protocol correctly and confirmed resolution with customer.
QA786148,A045,INT0000470,62,Agent closed interaction prematurely; customer issue was not fully addressed.
QA144028,A064,INT0000474,67,Agent closed interaction prematurely; customer issue was not fully addressed.
QA759532,A039,INT0000480,92,Agent followed protocol correctly and confirmed resolution with customer.
QA322887,A040,INT0000484,62,Agent closed interaction prematurely; customer issue was not fully addressed.
QA856606,A039,INT0000486,57,Agent closed interaction prematurely; customer issue was not fully addressed.
QA733604,A022,INT0000490,85,Agent followed protocol correctly and confirmed resolution with customer.
QA441400,A063,INT0000497,85,Agent followed protocol correctly and confirmed resolution with customer.
QA108239,A032,INT0000501,84,Agent followed protocol correctly and confirmed resolution with customer.
QA759726,A028,INT0000524,59,Agent closed interaction prematurely; customer issue was not fully addressed.
QA826880,A044,INT0000530,58,Agent closed interaction prematurely; customer issue was not fully addressed.
QA199182,A031,INT0000535,50,Agent closed interaction prematurely; customer issue was not fully addressed.
QA110910,A008,INT0000565,80,Agent followed protocol correctly and confirmed resolution with customer.
QA292272,A013,INT0000574,86,Agent followed protocol correctly and confirmed resolution with customer.
QA265091,A063,INT0000577,92,Agent followed protocol correctly and confirmed resolution with customer.
QA588719,A041,INT0000589,89,Agent followed protocol correctly and confirmed resolution with customer.
QA338538,A030,INT0000641,71,Agent closed interaction prematurely; customer issue was not fully addressed.
